metadata_NSTI	16S_rRNA_Count	sequence
0.008994	1	20e568023c10eaac834f1c110aacea18	
0.047617	1	23fe12a325dfefcdb23447f43b6b896e	
0.44977799999999996	4	288c8176059111c4c7fdfb0cd5afce64	
0.000101	1	2a45f0b7f68a35504402988bcb8eb7fe	
0.5681	4	343635a5abc8d3b1dbd2b305eb0efe32	
0.427548	4	40c2346925c479d2f90d76aea73b0975	
0.73624	4	48292bb527301239168556057a7805bb	
0.192246	1	48634a509c9db2a42174d1920e5c3999	
0.268347	4	5c5f6d5a2d45a21bc576e475985efa17	
0.065136	4	663baa27cddeac43b08f428e96650bf5	
0.071633	4	691eeed271e420c8e7a91d5ea0cf5431	
0.426713	4	6d5af1db8934361889a6fb8d80c70836	
0.207591	1	749f091c6dfc58f7a48d89cf4c0f3049	
0.07184700000000001	4	763af2e6cfd1d573893fa6d28aafc4b5	
0.268347	4	7e5d7cc681f5a0c25e0816a77d59ffb2	
0.268347	4	86681c8e9c64b6683071cf185f9e3419	
0.049382999999999996	3	8726f3950f95ade7a06f46b7cf3de779	
0.068622	4	8db33d54e5184b0f448ae140f793368a	
0.187414	3	9272935a83a4b015099938a373d42cc5	
0.268347	4	94be7094bb21b6425f166ebb9f64f64f	
0.070575	4	a895f151de7f3a3e9b84e15800425631	
0.068497	4	abd40160e03332710641ee74b1b42816	
0.068979	4	b639d3575f66b7b6b5dd908999072997	
0.152604	2	b8083ad94a9a412e5d124d68d2da3343	
0.268347	4	bac85f511e578b92b4a16264719bdb2d	
0.05898099999999999	4	c6f8879689d204423d60258f2759ebf1	
0.000101	1	c9e3a646d6b14e727ec78e0abe6aa878	
0.268347	4	cebb9cfc1d8430f13650adacf98b0a61	
0.268347	4	cfe4029cc35d2695cf0ce8c5ff332956	
0.07947	4	d307aef8086bbdb1c3e4f3d5511412dc	
0.06552999999999999	4	d6cecaaf52a711cc96417a5334067830	
0.237188	4	daac2b933e609bc0b483a4c25c92a055	
0.070236	4	de1be320837d0ac367b4ccef7f7ef44c	
0.5770850000000001	1	e6380dc8bedb392a5c2139c21c26a7e4	
0.502004	4	f3e89fa547a772288e6624c88135a47f	
0.08753	4	f5b23f626e3f2d2d1213f83c6de3e385	
0.268347	4	ff33233ffebbe6e3720af8bba7e89f08	

